complaint,category,priority,department
Street lights are off near market since yesterday. Unsafe at night.,Street Lights,Medium,streetlights
Drainage is blocked near temple from last night. Water is overflowing.,Drainage & Sewage,Medium,drainage
Bad smell and hygiene issue near school daily.,Health & Hygiene,Medium,health
Voltage fluctuation near temple since morning. Appliances are getting damaged.,Electricity,Medium,electricity
Electric pole wire loose near temple for 1 week.,Electricity,Medium,electricity
Open manhole on the road in 2nd street daily. Accident risk is high.,Road & Infrastructure,High,roads
Stray dogs causing trouble near park after rain.,Animal Control,Medium,animals
Low water pressure near junction for 1 week.,Water Supply,Medium,water
Power cut near bus stop daily.,Electricity,Medium,electricity
Waste dumped openly near school after rain.,Sanitation,Medium,sanitation
Sewage overflow near bus stop since yesterday. Bad smell everywhere.,Drainage & Sewage,Medium,drainage
Waste dumped openly in 2nd street for many days.,Sanitation,Medium,sanitation
Low water pressure near bus stop daily.,Water Supply,Medium,water
Stagnant water causing mosquitoes near park since yesterday.,Health & Hygiene,Medium,health
Drainage is blocked near temple since morning. Water is overflowing.,Drainage & Sewage,Medium,drainage
Waste dumped openly in 2nd street for 1 week.,Sanitation,Medium,sanitation
Garbage burning smell near market for many days.,Sanitation,Medium,sanitation
Garbage burning smell near school since yesterday.,Sanitation,Medium,sanitation
Bad smell and hygiene issue near school since yesterday.,Health & Hygiene,Medium,health
Public toilet is dirty near park for many days.,Health & Hygiene,Medium,health
Multiple street lights damaged in our area for 3 days.,Street Lights,Medium,streetlights
Drain cover broken in 2nd street from last night.,Drainage & Sewage,Medium,drainage
Bad smell and hygiene issue near railway gate for 1 week.,Health & Hygiene,Medium,health
Garbage burning smell in 2nd street for many days.,Sanitation,Medium,sanitation
Multiple street lights damaged near school from last month.,Street Lights,Medium,streetlights
Building collapse risk near school for 1 week. Please check urgently.,Emergency,High,emergency
Public issue needs attention near hospital for 3 days.,General,High,general
Public toilet is dirty near bus stop from last month.,Health & Hygiene,Medium,health
There is a huge pothole behind the apartment every morning.,Road & Infrastructure,Medium,roads
Electricity not available near bus stop since yesterday.,Electricity,Medium,electricity
Building collapse risk in 2nd street for many days. Please check urgently.,Emergency,High,emergency
Manhole overflow near bridge from last month.,Drainage & Sewage,Medium,drainage
Fever cases increasing due to mosquitoes near park for 3 days.,Health & Hygiene,Medium,health
Cows blocking road near junction from last night.,Animal Control,Medium,animals
Need help regarding civic issue near railway gate since yesterday.,General,Medium,general
Electrocution hazard near bus stop after rain. Very dangerous.,Emergency,High,emergency
Fire incident reported in 2nd street for many days. Need immediate help.,Emergency,High,emergency
Lamp post broken near park from last month.,Street Lights,Medium,streetlights
Street light not working in my street from last night.,Street Lights,Medium,streetlights
Drain cover broken near market since yesterday.,Drainage & Sewage,Medium,drainage
Stray animals near school near temple from last month.,Animal Control,Medium,animals
Water overflow near pipeline at main road since yesterday.,Water Supply,Medium,water
Speed breaker damaged near bridge after rain. Causing traffic issues.,Road & Infrastructure,Medium,roads
Public toilet is dirty near railway gate for 1 week.,Health & Hygiene,Medium,health
Stray animals near school near railway gate daily.,Animal Control,Medium,animals
Request immediate action in my street since yesterday.,General,Medium,general
Stagnant water causing mosquitoes behind the apartment from last night.,Health & Hygiene,Medium,health
Road surface is damaged in 2nd street every morning. Vehicles are struggling to pass.,Road & Infrastructure,Medium,roads
Dead animal not removed near market since morning.,Sanitation,Medium,sanitation
Waste dumped openly near hospital since yesterday.,Sanitation,High,sanitation
Complaint about local problem near bridge since morning.,General,Medium,general
Broken footpath near school daily. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Garbage burning smell behind the apartment after rain.,Sanitation,Medium,sanitation
Drainage is blocked near railway gate for 1 week. Water is overflowing.,Drainage & Sewage,Medium,drainage
Electrocution hazard near park daily. Very dangerous.,Emergency,High,emergency
Bad smell and hygiene issue near market since morning.,Health & Hygiene,Medium,health
Stray dogs causing trouble near bridge for 3 days.,Animal Control,Medium,animals
Flickering street light near railway gate from last night.,Street Lights,Medium,streetlights
Multiple street lights damaged near railway gate for many days.,Street Lights,Medium,streetlights
Aggressive stray dog bite risk in my street for 1 week.,Animal Control,High,animals
Broken footpath at main road from last month. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Lamp post broken near railway gate from last month.,Street Lights,Medium,streetlights
Dustbin overflowing near bus stop daily.,Sanitation,Medium,sanitation
Stray dogs causing trouble near temple after rain.,Animal Control,Medium,animals
Fire incident reported in 2nd street for many days. Need immediate help.,Emergency,High,emergency
Road surface is damaged near railway gate for many days. Vehicles are struggling to pass.,Road & Infrastructure,Medium,roads
Electric pole wire loose behind the apartment since yesterday.,Electricity,Medium,electricity
Electricity not available near junction from last night.,Electricity,Medium,electricity
Power cut near temple for many days.,Electricity,Medium,electricity
Electricity not available at main road for many days.,Electricity,Medium,electricity
Dead animal not removed in our area every morning.,Sanitation,Medium,sanitation
Transformer sparking near temple for 3 days.,Electricity,High,electricity
Water supply is not coming near hospital since morning.,Water Supply,High,water
Electricity not available in our area after rain.,Electricity,Medium,electricity
Lamp post broken near school daily.,Street Lights,Medium,streetlights
Gas leak smell in our area from last month. Please respond fast.,Emergency,High,emergency
Kindly check and resolve the issue near hospital daily.,General,High,general
Lamp post broken in our area since morning.,Street Lights,Medium,streetlights
Gas leak smell near bridge since yesterday. Please respond fast.,Emergency,High,emergency
Need help regarding civic issue near bus stop since morning.,General,Medium,general
Electricity not available near school for 1 week.,Electricity,Medium,electricity
Electric pole wire loose near hospital since yesterday.,Electricity,High,electricity
Power cut in my street for 1 week.,Electricity,Medium,electricity
Garbage is not collected in 2nd street since yesterday.,Sanitation,Medium,sanitation
Dog barking and chasing vehicles near junction after rain.,Animal Control,Medium,animals
Lamp post broken near temple for 3 days.,Street Lights,Medium,streetlights
Sewage overflow near hospital daily. Bad smell everywhere.,Drainage & Sewage,High,drainage
Water overflow near pipeline near school since morning.,Water Supply,Medium,water
Electric pole wire loose near junction after rain.,Electricity,Medium,electricity
Garbage is not collected in my street for many days.,Sanitation,Medium,sanitation
Waste dumped openly near railway gate for 1 week.,Sanitation,Medium,sanitation
Fire incident reported near bridge for 1 week. Need immediate help.,Emergency,High,emergency
Voltage fluctuation near market from last night. Appliances are getting damaged.,Electricity,Medium,electricity
Flickering street light near park for many days.,Street Lights,Medium,streetlights
Aggressive stray dog bite risk near park since morning.,Animal Control,High,animals
Aggressive stray dog bite risk near park for 3 days.,Animal Control,High,animals
Electric pole wire loose at main road since yesterday.,Electricity,Medium,electricity
